station_name,lat,lon,total_rides,subscriber_rides,customer_rides,path_id
"Lakeview Ave & Fullerton Pkwy",41.925858,-87.638973,4314,3363,951,593
"Michigan Ave & Lake St",41.886024,-87.624117,4309,1642,2667,594
"Michigan Ave & Pearson St",41.89766,-87.62351,4309,1642,2667,594
"Woodlawn Ave & 55th St",41.795264,-87.596471,4300,3072,1228,595
"Ellis Ave & 60th St",41.7850971464,-87.6010727606,4300,3072,1228,595
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,4300,4115,185,596
"Clark St & Congress Pkwy",41.8759326655,-87.6305845355,4300,4115,185,596
"Wells St & Elm St",41.903222,-87.634324,4288,3461,827,597
"Dearborn St & Erie St",41.893992,-87.629318,4288,3461,827,597
"Shore Dr & 55th St",41.795212,-87.580715,4286,3161,1125,598
"Lake Park Ave & 53rd St",41.7994942937,-87.5864498959,4286,3161,1125,598
"Rush St & Superior St",41.8957647456,-87.6259080327,4285,4014,271,599
"Canal St & Adams St",41.879255,-87.639904,4285,4014,271,599
"Kimbark Ave & 53rd St",41.799568,-87.594747,4284,3755,529,600
"Lake Park Ave & 53rd St",41.7994942937,-87.5864498959,4284,3755,529,600
"DuSable Lake Shore Dr & Monroe St",41.880958,-87.616743,4282,742,3540,601
"Adler Planetarium",41.866095,-87.607267,4282,742,3540,601
"Loomis St & Taylor St",41.869417,-87.660996,4282,4194,88,602
"Wood St & Taylor St",41.869154,-87.671045,4282,4194,88,602
"Morgan St & Polk St",41.871737,-87.65103,4279,4019,260,603
"Hermitage Ave & Polk St",41.871514,-87.669886,4279,4019,260,603
"Western Ave & Division St",41.902893,-87.687275,4276,3427,849,604
"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,4276,3427,849,604
"Dearborn St & Monroe St",41.881319815,-87.6295209193,4272,3818,454,605
"Franklin St & Monroe St",41.880317,-87.635185,4272,3818,454,605
"Wolcott Ave & Polk St",41.871262,-87.673688,4272,3882,390,606
"Loomis St & Lexington St",41.8722287322,-87.661363855,4272,3882,390,606
"Dearborn Pkwy & Delaware Pl",41.898969,-87.629912,4270,4005,265,607
"Franklin St & Monroe St",41.880317,-87.635185,4270,4005,265,607
"Kimbark Ave & 53rd St",41.7994549,-87.5947779,4265,3191,1074,608
"University Ave & 57th St",41.791478,-87.599861,4265,3191,1074,608
"Clark St & Lincoln Ave",41.915689,-87.6346,4265,3342,923,609
"Bissell St & Armitage Ave",41.91844,-87.65222,4265,3342,923,609
"Clark St & Grace St",41.95078,-87.659172,4256,3511,745,610
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,4256,3511,745,610
"Bissell St & Armitage Ave",41.91844,-87.65222,4256,4076,180,611
"Sheffield Ave & Willow St",41.913688,-87.652855,4256,4076,180,611
"Canal St & Adams St",41.879255,-87.639904,4253,3260,993,612
