	2.0
-28	8.27272727272727
-26	3.08333333333333
-24	4.08333333333333
-22	11.9480519480519
-20	18.6271186440678
-18	22.9519230769231
-16	22.4649776453055
-14	26.7481031866464
-12	29.4625
-10	34.5722891566265
-8	44.0215916101172
-6	47.2763602828159
-4	48.5423131170663
-2	57.2127505869604
0	61.9796131730267
2	70.9349101902899
4	87.7287012030444
6	93.4273916035788
8	112.151928320997
10	136.403748047892
12	148.64654439451
14	161.341397036589
16	168.082814890362
18	191.690688991967
20	210.793314844548
22	245.540108092732
24	303.758101065035
26	354.462847419172
28	414.972799314628
30	426.320069706651
32	430.357927786499
34	450.102112676056
36	240.127659574468
38	0.0
	2.0
-29	10.6666666666667
-28	7.375
-27	4.0
-26	1.8
-25	5.10526315789474
-24	0.2
-23	6.05882352941176
-22	13.6166666666667
-21	11.2894736842105
-20	22.1125
-19	24.8333333333333
-18	22.4759036144578
-17	20.8377358490566
-16	23.5270935960591
-15	22.3073170731707
-14	34.0602409638554
-13	27.1295336787565
-12	31.6376811594203
-11	37.0123119015048
-10	32.6523143164693
-9	43.5201793721973
-8	44.211914893617
-7	45.9932614555256
-6	48.3527416619559
-5	47.7157190635452
-4	49.9654510556622
-3	55.0902195608782
-2	58.9663588390501
-1	57.9105077928607
0	62.2366185789403
1	64.4324974235658
2	67.3849434452067
3	74.205877327866
4	83.3466050479915
5	90.0401275079692
6	86.4127609294998
7	100.421362654624
8	105.059973679263
9	127.988245172124
10	135.241447109713
11	137.711883159991
12	140.734673616282
13	156.22906755471
14	162.238288288288
15	160.888256713701
16	161.70333190944
17	173.913136833886
18	188.673087117865
19	197.060691823899
20	208.722552154713
21	212.699229152067
22	226.896055875103
23	265.67899408284
24	290.70564640543
25	311.332497761862
26	349.940008274721
27	359.954785229842
28	410.705386698766
29	425.508172362556
30	410.628456510809
31	447.785419532325
32	420.594327990136
33	447.460043196544
34	466.644578313253
35	426.830508474576
36	302.0
37	130.941176470588
38	0.0
