station_a,lat_a,lon_a,station_b,lat_b,lon_b,ride_count,subscriber_count,customer_count
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,"Southport Ave & Wrightwood Ave",41.928773,-87.663913,14482,13459,1023
"Adler Planetarium",41.866095,-87.607267,"Streeter Dr & Grand Ave",41.892278,-87.612043,14420,1613,12807
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,"Clarendon Ave & Gordon Ter",41.957879,-87.649519,14329,13934,395
"Wilton Ave & Diversey Pkwy",41.932418,-87.652705,"Clark St & Wrightwood Ave",41.929546,-87.643118,14090,13315,775
"Southport Ave & Roscoe St",41.943739,-87.66402,"Southport Ave & Waveland Ave",41.94815,-87.66394,14014,13185,829
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Streeter Dr & Illinois St",41.891071,-87.6122,13980,1272,12708
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,"Clinton St & Washington Blvd",41.88338,-87.64117,13881,13232,649
"LaSalle St & Jackson Blvd",41.87817,-87.631985,"Canal St & Madison St",41.882091,-87.639833,13829,13603,226
"Kedzie Ave & Palmer Ct",41.921525,-87.707322,"California Ave & Milwaukee Ave",41.922695,-87.697153,13789,12801,988
"Lake Shore Dr & Monroe St",41.880958,-87.616743,"Theater on the Lake",41.926277,-87.630834,13673,5359,8314
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,"Racine Ave & Wrightwood Ave",41.928887,-87.658971,13620,12983,637
"Lakefront Trail & Bryn Mawr Ave",41.9840441152,-87.6522812247,"Theater on the Lake",41.926277,-87.630834,13493,8848,4645
"Clinton St & Washington Blvd",41.88338,-87.64117,"St. Clair St & Erie St",41.8943451374,-87.6227983832,13340,12846,494
"Wilton Ave & Belmont Ave",41.94018,-87.65304,"Halsted St & Roscoe St",41.94367,-87.64895,13118,12476,642
"Lake Shore Dr & Monroe St",41.880958,-87.616743,"Museum Campus",41.865212,-87.617759,12903,1543,11360
"State St & Kinzie St",41.88918,-87.6277,"Clinton St & Washington Blvd",41.88338,-87.64117,12834,12416,418
"Lake Shore Dr & Belmont Ave",41.940775,-87.639192,"Theater on the Lake",41.926277,-87.630834,12713,5321,7392
"Wacker Dr & Washington St Corral",41.88316,-87.63736,"Michigan Ave & Washington St",41.8838927658,-87.6246491409,12672,12353,319
"Dusable Harbor",41.886976,-87.612813,"Streeter Dr & Grand Ave",41.892278,-87.612043,12668,2770,9898
"Ellis Ave & 55th St",41.7943006205,-87.6014497734,"Kimbark Ave & 53rd St",41.799568,-87.594747,12444,11148,1296
"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,"Claremont Ave & Hirsch St",41.907781,-87.685854,12391,11595,796
"Halsted St & Polk St",41.87184,-87.64664,"Halsted St & Maxwell St",41.864883,-87.647071,12155,10678,1477
"State St & Kinzie St",41.88918,-87.6277,"Canal St & Adams St",41.879255,-87.639904,12021,11573,448
"Adler Planetarium",41.866095,-87.607267,"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,12000,5161,6839
"Columbus Dr & Randolph St",41.884728,-87.619521,"State St & Randolph St",41.8847302006,-87.6277335692,11898,11126,772
"Sheridan Rd & Montrose Ave",41.96167,-87.65464,"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,11848,10654,1194
"Lake Shore Dr & Monroe St",41.880958,-87.616743,"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,11841,4148,7693
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,"Clinton St & Madison St",41.8827519657,-87.6411902905,11756,10864,892
"University Ave & 57th St",41.791478,-87.599861,"Ellis Ave & 53rd St",41.7993362626,-87.6009581145,11655,10451,1204
"Canal St & Adams St",41.879255,-87.639904,"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,11576,10976,600
"Clinton St & Washington Blvd",41.88338,-87.64117,"Larrabee St & Kingsbury St",41.897764,-87.642884,11524,10700,824
"Dearborn St & Monroe St",41.881319815,-87.6295209193,"Canal St & Madison St",41.882091,-87.639833,11520,11121,399
"Canal St & Madison St",41.882091,-87.639833,"Michigan Ave & Lake St",41.886024,-87.624117,11494,10968,526
"Clinton St & Madison St",41.8827519657,-87.6411902905,"Peoria St & Jackson Blvd",41.877749,-87.649633,11423,11236,187
"Cornell Ave & Hyde Park Blvd",41.802406,-87.586924,"University Ave & 57th St",41.791478,-87.599861,11302,9974,1328
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,"Ashland Ave & Wrightwood Ave",41.92883,-87.668507,11193,10097,1096
"Clinton St & Washington Blvd",41.88338,-87.64117,"Kingsbury St & Erie St",41.8939139,-87.6417358,11125,10215,910
"Lake Shore Dr & North Blvd",41.911722,-87.626804,"Lake Shore Dr & Belmont Ave",41.940775,-87.639192,11024,4125,6899
"Chicago Ave & Sheridan Rd",42.050491,-87.677821,"Sheridan Rd & Noyes St (NU)",42.058239,-87.677432,10987,7548,3439
"Sheffield Ave & Wellington Ave",41.936253,-87.653566,"Southport Ave & Wellington Ave",41.935733,-87.663576,10959,10482,477
"Kingsbury St & Erie St",41.8939139,-87.6417358,"Canal St & Adams St",41.879255,-87.639904,10889,10475,414
"Western Ave & Division St",41.902893,-87.687275,"Ashland Ave & Division St",41.90345,-87.667747,10762,9196,1566
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Lake Shore Dr & Belmont Ave",41.940775,-87.639192,10761,5100,5661
"Loomis St & Lexington St",41.8722287322,-87.661363855,"Morgan St & Polk St",41.871737,-87.65103,10723,9848,875
"Clark St & Armitage Ave",41.918306,-87.636282,"Wells St & Concord Ln",41.912133,-87.634656,10679,9362,1317
"Damen Ave & Chicago Ave",41.895769,-87.67722,"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,10630,8746,1884
"Sheffield Ave & Wellington Ave",41.9362534831,-87.6526620984,"Southport Ave & Wellington Ave",41.935733,-87.663576,10625,10396,229
"Sheridan Rd & Noyes St (NU)",42.058239,-87.677432,"Benson Ave & Church St",42.048214,-87.683485,10622,8421,2201
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,"Shedd Aquarium",41.8672259568,-87.6153553902,10587,4136,6451
"Ellis Ave & 58th St",41.788746,-87.601334,"Ellis Ave & 60th St",41.7850971464,-87.6010727606,10560,9404,1156
"Clinton St & Washington Blvd",41.88338,-87.64117,"Rush St & Hubbard St",41.890173,-87.626185,10506,10067,439
"State St & Randolph St",41.8847302006,-87.6277335692,"Canal St & Adams St",41.879255,-87.639904,10498,10097,401
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,"Larrabee St & Kingsbury St",41.897764,-87.642884,10441,9714,727
"Streeter Dr & Grand Ave",41.892278,-87.612043,"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,10328,3265,7063
"Desplaines St & Kinzie St",41.888716036,-87.6444478533,"Clinton St & Madison St",41.8827519657,-87.6411902905,10277,9670,607
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,"Clinton St & Madison St",41.8827519657,-87.6411902905,10144,9632,512
"Clinton St & Madison St",41.8827519657,-87.6411902905,"Clinton St & Tilden St",41.875885,-87.640795,10091,9663,428
"Broadway & Sheridan Rd",41.952833,-87.649993,"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,10078,9297,781
"Clinton St & Madison St",41.8827519657,-87.6411902905,"LaSalle St & Jackson Blvd",41.87817,-87.631985,10070,9966,104
"Wilton Ave & Diversey Pkwy",41.932418,-87.652705,"Hampden Ct & Diversey Pkwy",41.93262,-87.642385,10027,9664,363
