station_a,lat_a,lon_a,station_b,lat_b,lon_b,ride_count,subscriber_count,customer_count
"Michigan Ave & Jackson Blvd",41.87785,-87.62408,"Michigan Ave & Lake St",41.886024,-87.624117,3120,1270,1850
"Bissell St & Armitage Ave",41.91844,-87.65222,"Marshfield Ave & Cortland St",41.916017,-87.668879,3119,2722,397
"Dearborn St & Monroe St",41.881319815,-87.6295209193,"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,3118,2635,483
"Adler Planetarium",41.866095,-87.607267,"Michigan Ave & 8th St",41.872773,-87.623981,3118,625,2493
"Theater on the Lake",41.926277,-87.630834,"Sheridan Rd & Montrose Ave",41.96167,-87.65464,3117,1709,1408
"Larrabee St & Kingsbury St",41.897764,-87.642884,"Wells St & Huron St",41.8947953,-87.6343743,3116,2775,341
"McCormick Place",41.8513751729,-87.6188346489,"Wabash Ave & Cermak Rd",41.852619,-87.626488,3114,1787,1327
"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,"Wood St & Milwaukee Ave",41.907655,-87.672552,3114,2589,525
"Aberdeen St & Jackson Blvd",41.87772613,-87.65478743,"Canal St & Jackson Blvd",41.877988,-87.640769,3113,2908,205
"Wilton Ave & Belmont Ave",41.94018,-87.65304,"Southport Ave & Waveland Ave",41.94815,-87.66394,3112,2660,452
"Theater on the Lake",41.926277,-87.630834,"DuSable Lake Shore Dr & Monroe St",41.880958,-87.616743,3108,1021,2087
"Clark St & Lincoln Ave",41.915689,-87.6346,"Halsted St & Wrightwood Ave",41.929143,-87.649077,3107,2087,1020
"Larrabee St & Menomonee St",41.91468,-87.64332,"Wells St & Concord Ln",41.912133,-87.634656,3105,2872,233
"Franklin St & Monroe St",41.880317,-87.635185,"Clinton St & Lake St",41.885637,-87.641823,3105,2926,179
"Aberdeen St & Monroe St",41.880419,-87.655519,"Franklin St & Monroe St",41.880317,-87.635185,3104,2916,188
"Michigan Ave & Oak St",41.90096039,-87.62377664,"DuSable Lake Shore Dr & Belmont Ave",41.940775,-87.639192,3103,1359,1744
"Lake Shore Dr & Diversey Pkwy",41.932684,-87.63625,"Montrose Harbor",41.963982,-87.638181,3102,1342,1760
"Cannon Dr & Fullerton Ave",41.9267559875,-87.6344287848,"Streeter Dr & Illinois St",41.891071,-87.6122,3101,335,2766
"Canal St & Madison St",41.882091,-87.639833,"McClurg Ct & Illinois St",41.89102,-87.6173,3098,2605,493
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,"State St & 19th St",41.856594,-87.627542,3094,2438,656
"Wentworth Ave & 33rd St",41.8345298856,-87.6318229814,"Emerald Ave & 31st St",41.838198,-87.645143,3094,2748,346
"Clark St & Montrose Ave",41.961588,-87.666036,"Clark St & Grace St",41.95078,-87.659172,3093,2174,919
"Sheffield Ave & Addison St",41.94688,-87.65445,"Southport Ave & Waveland Ave",41.94815,-87.66394,3093,2823,270
"Franklin St & Jackson Blvd",41.8777079559,-87.6353211408,"Columbus Dr & Randolph St",41.884728,-87.619521,3092,2478,614
"California Ave & North Ave",41.91044,-87.6972,"California Ave & Milwaukee Ave",41.922695,-87.697153,3090,2567,523
"Lake Shore Dr & North Blvd",41.911722,-87.626804,"Rush St & Cedar St",41.9023087012,-87.627690528,3090,1541,1549
"Wells St & Concord Ln",41.912133,-87.634656,"Dearborn St & Erie St",41.893992,-87.629318,3088,2423,665
"Clark St & Lincoln Ave",41.915689,-87.6346,"Lincoln Ave & Fullerton Ave",41.925905,-87.64926,3087,2349,738
"Michigan Ave & Lake St",41.886024,-87.624117,"Canal St & Jackson Blvd",41.877988,-87.640769,3087,2828,259
"Broadway & Thorndale Ave",41.9897425114,-87.6601406209,"Broadway & Ridge Ave",41.9840446107,-87.6602738295,3086,2594,492
"Wells St & Evergreen Ave",41.906724,-87.63483,"Lake Shore Dr & North Blvd",41.911722,-87.626804,3083,1549,1534
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Dusable Harbor",41.886976,-87.612813,3077,826,2251
"Dearborn St & Adams St",41.8793563587,-87.6297910363,"Michigan Ave & Lake St",41.886024,-87.624117,3076,2432,644
"Larrabee St & Armitage Ave",41.918084,-87.643749,"Clark St & Armitage Ave",41.918306,-87.636282,3076,2290,786
"Wells St & Elm St",41.903222,-87.634324,"State St & Chicago Ave",41.8966172004,-87.6285785437,3075,2342,733
"Dearborn Pkwy & Delaware Pl",41.898969,-87.629912,"Clinton St & Madison St",41.8827519657,-87.6411902905,3074,2741,333
"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,"Wells St & Evergreen Ave",41.906724,-87.63483,3071,2728,343
"Clinton St & Madison St",41.8827519657,-87.6411902905,"Loomis St & Jackson Blvd",41.877945,-87.662007,3070,2894,176
"LaSalle St & Washington St",41.882664,-87.63253,"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,3068,2976,92
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Mies van der Rohe Way & Chicago Ave",41.89691,-87.621743,3068,1151,1917
"Larrabee St & Armitage Ave",41.918084,-87.643749,"Clark St & Lincoln Ave",41.915689,-87.6346,3066,2422,644
"Halsted St & Polk St",41.87184,-87.64664,"900 W Harrison St",41.874754,-87.649807,3065,2781,284
"Clinton St & Washington Blvd",41.88338,-87.64117,"May St & Randolph St",41.88397,-87.655688,3065,2926,139
"Dearborn St & Monroe St",41.881319815,-87.6295209193,"State St & Harrison St",41.874053,-87.627716,3062,2635,427
"Ashland Ave & Augusta Blvd",41.899643,-87.6677,"Ashland Ave & Division St",41.90345,-87.667747,3061,2848,213
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,"Calumet Ave & 18th St",41.857611,-87.619407,3055,2225,830
"Michigan Ave & 14th St",41.864059,-87.623727,"Dearborn St & Adams St",41.8793563587,-87.6297910363,3052,2747,305
"Clark St & Elm St",41.903233,-87.631253,"State St & Pearson St",41.897448,-87.628722,3048,2649,399
"MLK Jr Dr & 29th St",41.842052,-87.617,"Calumet Ave & 35th St",41.831379,-87.618034,3046,2850,196
"Desplaines St & Randolph St",41.883703,-87.644238,"Desplaines St & Kinzie St",41.888716036,-87.6444478533,3045,2732,313
"Chicago Ave & Washington St",42.032562,-87.679101,"Elmwood Ave & Austin St",42.025784,-87.684107,3045,2607,438
"Southport Ave & Clark St",41.957081,-87.664199,"Southport Ave & Roscoe St",41.943739,-87.66402,3045,2788,257
"Clark St & Chicago Ave",41.896544,-87.630931,"Larrabee St & Kingsbury St",41.897764,-87.642884,3045,2901,144
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,"McCormick Place",41.8513751729,-87.6188346489,3044,1150,1894
"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,"McClurg Ct & Illinois St",41.89102,-87.6173,3040,2625,415
"Millennium Park",41.8810317,-87.62408432,"Franklin St & Quincy St",41.878724,-87.634793,3039,1405,1634
"Lake Shore Dr & North Blvd",41.911722,-87.626804,"Clark St & Wrightwood Ave",41.929546,-87.643118,3039,1483,1556
"Canal St & Madison St",41.882091,-87.639833,"Wabash Ave & Grand Ave",41.891738,-87.626937,3038,2732,306
"Clark St & Columbia Ave",42.0044506293,-87.6724024047,"Glenwood Ave & Morse Ave",42.0079719229,-87.6655023944,3036,2873,163
"Wells St & Elm St",41.903222,-87.634324,"Wells St & Walton St",41.89993001,-87.63443007,3035,2622,413
"Streeter Dr & Illinois St",41.891071,-87.6122,"Clark St & Lincoln Ave",41.915689,-87.6346,3032,395,2637
"Southport Ave & Roscoe St",41.943739,-87.66402,"Lincoln Ave & Roscoe St",41.94334,-87.67097,3031,2713,318
"Woodlawn Ave & Lake Park Ave",41.8140927105,-87.5970051479,"Lake Park Ave & 47th St",41.809443,-87.591875,3027,2534,493
"Clark St & Montrose Ave",41.961588,-87.666036,"Ravenswood Ave & Montrose Ave",41.961615,-87.674365,3026,2896,130
"Wells St & Erie St",41.893832,-87.634195,"Clinton St & Washington Blvd",41.88338,-87.64117,3023,2850,173
"Ashland Ave & Division St",41.90345,-87.667747,"California Ave & Division St",41.903029,-87.697474,3022,2239,783
"Jefferson St & Monroe St",41.880422,-87.642746,"Aberdeen St & Jackson Blvd",41.87772613,-87.65478743,3021,2830,191
"Southport Ave & Wellington Ave",41.935733,-87.663576,"Ashland Ave & Wellington Ave",41.936083,-87.669807,3020,2915,105
"Ogden Ave & Chicago Ave",41.896362458,-87.6540612729,"Damen Ave & Chicago Ave",41.895769,-87.67722,3019,2622,397
"Blue Island Ave & 18th St",41.857556,-87.661535,"Morgan St & 18th St",41.858086,-87.651073,3018,2502,516
"DuSable Lake Shore Dr & North Blvd",41.911722,-87.626804,"DuSable Lake Shore Dr & Belmont Ave",41.940775,-87.639192,3017,1118,1899
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,"Franklin St & Arcade Pl",41.881131,-87.635185,3011,2799,212
"Canal St & Taylor St",41.870257,-87.639474,"Canal St & Jackson Blvd",41.87811421,-87.63997112,3010,2697,313
"Clark St & Grace St",41.95078,-87.659172,"Halsted St & Waveland Ave",41.949375,-87.649626,3009,1950,1059
"Desplaines St & Jackson Blvd",41.8781189009,-87.6439476013,"Franklin St & Jackson Blvd",41.8777079559,-87.6353211408,3008,2765,243
"Sedgwick St & Huron St",41.894666,-87.638437,"St. Clair St & Erie St",41.8943451374,-87.6227983832,3005,2645,360
"Western Ave & Leland Ave",41.966555,-87.688487,"Campbell Ave & Montrose Ave",41.961524,-87.691177,3003,2823,180
"State St & Harrison St",41.874053,-87.627716,"Clinton St & Madison St",41.8827519657,-87.6411902905,3002,2763,239
"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,"Michigan Ave & Washington St",41.8838927658,-87.6246491409,3002,2479,523
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,"Daley Center Plaza",41.884241,-87.629634,3001,2790,211
"State St & Van Buren St",41.877181,-87.627844,"Canal St & Jackson Blvd",41.87811421,-87.63997112,3001,2779,222
"Ravenswood Ave & Lawrence Ave",41.96909,-87.674237,"Ravenswood Ave & Montrose Ave",41.961615,-87.674365,3001,2922,79
"Sheffield Ave & Wrightwood Ave",41.928712,-87.653833,"Halsted St & Wrightwood Ave",41.929143,-87.649077,3000,2533,467
"Clinton St & Madison St",41.8827519657,-87.6411902905,"Wabash Ave & Adams St",41.8794723523,-87.6256886059,2999,2827,172
"Racine Ave & Congress Pkwy",41.87464,-87.65703,"900 W Harrison St",41.874754,-87.649807,2997,2691,306
"Larrabee St & Kingsbury St",41.897764,-87.642884,"Sedgwick St & Huron St",41.894666,-87.638437,2997,2832,165
"Franklin St & Monroe St",41.880317,-87.635185,"Michigan Ave & Lake St",41.886024,-87.624117,2994,2534,460
"Morgan St & Lake St",41.8854833079,-87.6523048564,"Clinton St & Lake St",41.885637,-87.641823,2992,2863,129
"Southport Ave & Clybourn Ave",41.921004,-87.663257,"Bissell St & Armitage Ave",41.91844,-87.65222,2991,2814,177
"Michigan Ave & Lake St",41.886024,-87.624117,"Fairbanks Ct & Grand Ave",41.89186,-87.62062,2987,1893,1094
"Mies van der Rohe Way & Chicago Ave",41.89691,-87.621743,"Lake Shore Dr & Monroe St",41.880958,-87.616743,2986,723,2263
"Clinton St & Washington Blvd",41.88338,-87.64117,"LaSalle St & Illinois St",41.890762,-87.631697,2984,2654,330
"Clark St & Lincoln Ave",41.915689,-87.6346,"Halsted St & Dickens Ave",41.919936,-87.64883,2982,2086,896
"Columbus Dr & Randolph St",41.884728,-87.619521,"Dearborn St & Adams St",41.8793563587,-87.6297910363,2980,2620,360
"Field Blvd & South Water St",41.8863490627,-87.6175165471,"Michigan Ave & Oak St",41.90096039,-87.62377664,2979,1791,1188
"Dearborn Pkwy & Delaware Pl",41.898969,-87.629912,"Kingsbury St & Erie St",41.8939139,-87.6417358,2977,2511,466
"Southport Ave & Roscoe St",41.943739,-87.66402,"Racine Ave & Belmont Ave",41.939743,-87.658865,2975,2470,505
"Stetson Ave & South Water St",41.886835,-87.62232,"Daley Center Plaza",41.884241,-87.629634,2974,2810,164
"Clark St & Lake St",41.8860208277,-87.6308760584,"Clark St & Elm St",41.903233,-87.631253,2973,2474,499
"Clinton St & Madison St",41.8827519657,-87.6411902905,"Canal St & Jackson Blvd",41.877988,-87.640769,2972,2855,117
"Franklin St & Monroe St",41.880317,-87.635185,"Wells St & Polk St",41.8727315423,-87.6335164905,2967,2593,374
"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,"Milwaukee Ave & Wabansia Ave",41.912616,-87.681391,2967,2389,578
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,"Desplaines St & Randolph St",41.883703,-87.644238,2966,2688,278
"Theater on the Lake",41.926277,-87.630834,"Sheffield Ave & Addison St",41.94688,-87.65445,2966,710,2256
"Ashland Ave & Division St",41.90345,-87.667747,"Western Ave & Walton St",41.8984176894,-87.6865960164,2960,2507,453
"Franklin St & Lake St",41.885837,-87.6355,"Columbus Dr & Randolph St",41.884728,-87.619521,2959,2636,323
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,"Wells St & Evergreen Ave",41.906724,-87.63483,2957,2352,605
"Rush St & Superior St",41.8957647456,-87.6259080327,"Streeter Dr & Grand Ave",41.892278,-87.612043,2957,488,2469
"Theater on the Lake",41.926277,-87.630834,"Broadway & Berwyn Ave",41.978353,-87.659753,2957,1979,978
"Halsted St & Waveland Ave",41.949375,-87.649626,"DuSable Lake Shore Dr & Belmont Ave",41.940775,-87.639192,2957,1915,1042
"Wells St & Walton St",41.89993001,-87.63443007,"Wells St & Evergreen Ave",41.906724,-87.63483,2954,2377,577
"Clark St & Armitage Ave",41.918306,-87.636282,"Halsted St & Dickens Ave",41.919936,-87.64883,2951,2160,791
"Clinton St & Madison St",41.8827519657,-87.6411902905,"LaSalle St & Washington St",41.882664,-87.63253,2947,2753,194
"McClurg Ct & Erie St",41.894503,-87.617854,"Canal St & Madison St",41.882091,-87.639833,2945,2818,127
"Broadway & Cornelia Ave",41.945512,-87.64598,"Broadway & Barry Ave",41.937725,-87.644095,2943,2655,288
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Lakefront Trail & Bryn Mawr Ave",41.9840441152,-87.6522812247,2941,1173,1768
"Blackstone Ave & Hyde Park Blvd",41.802562,-87.590368,"Woodlawn Ave & 55th St",41.795264,-87.596471,2939,2376,563
"Southport Ave & Roscoe St",41.943739,-87.66402,"Clark St & Wellington Ave",41.9364968219,-87.6475386582,2936,2373,563
"Aberdeen St & Monroe St",41.880419,-87.655519,"Jefferson St & Monroe St",41.880422,-87.642746,2935,2819,116
"Ellis Ave & 53rd St",41.7993362626,-87.6009581145,"Lake Park Ave & 53rd St",41.7994942937,-87.5864498959,2932,2364,568
"McClurg Ct & Illinois St",41.89102,-87.6173,"State St & Randolph St",41.8847302006,-87.6277335692,2931,2061,870
"Clinton St & Washington Blvd",41.88338,-87.64117,"Clinton St & Jackson Blvd",41.8783166118,-87.6409810781,2928,2613,315
"Southport Ave & Waveland Ave",41.94815,-87.66394,"Clark St & Grace St",41.95078,-87.659172,2928,2348,580
"Sheridan Rd & Montrose Ave",41.96167,-87.65464,"Sheridan Rd & Lawrence Ave",41.969517,-87.654691,2927,2596,331
"Milwaukee Ave & Wabansia Ave",41.912616,-87.681391,"Kedzie Ave & Milwaukee Ave",41.929567,-87.707857,2926,2051,875
"Sheffield Ave & Willow St",41.913688,-87.652855,"Larrabee St & Menomonee St",41.91468,-87.64332,2925,2696,229
"Columbus Dr & Randolph St",41.884728,-87.619521,"LaSalle St & Jackson Blvd",41.878166,-87.631929,2925,2740,185
"Aberdeen St & Randolph St",41.884114,-87.654264,"Clinton St & Washington Blvd",41.88338,-87.64117,2924,2585,339
"Clark St & Elm St",41.903233,-87.631253,"Wells St & Hubbard St",41.889906,-87.634266,2924,2433,491
"Canal St & Madison St",41.882091,-87.639833,"Franklin St & Chicago Ave",41.89680204,-87.63563839,2924,2831,93
"Marshfield Ave & Cortland St",41.916017,-87.668879,"Ashland Ave & Blackhawk St",41.907066,-87.667252,2922,2739,183
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,"Rush St & Superior St",41.8957647456,-87.6259080327,2921,2461,460
"State St & 33rd St",41.834734,-87.625813,"Fort Dearborn Dr & 31st St",41.838556,-87.608218,2920,1564,1356
"Bissell St & Armitage Ave",41.91844,-87.65222,"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,2920,2677,243
"Lakeview Ave & Fullerton Pkwy",41.925858,-87.638973,"Clark St & North Ave",41.911974,-87.631942,2918,1664,1254
"Canal St & Adams St",41.879255,-87.639904,"Federal St & Polk St",41.8720776329,-87.6295437729,2917,2609,308
"Rush St & Superior St",41.8957647456,-87.6259080327,"Clark St & Elm St",41.903233,-87.631253,2917,2480,437
"Spaulding Ave & Armitage Ave",41.9171080348,-87.7102209628,"Kedzie Ave & Milwaukee Ave",41.929567,-87.707857,2912,2209,703
"LaSalle St & Jackson Blvd",41.87817,-87.631985,"Daley Center Plaza",41.884451,-87.629892,2908,2832,76
"Canal St & Madison St",41.882409,-87.639767,"Michigan Ave & Washington St",41.8839840647,-87.6246839762,2906,2190,716
"Clifton Ave & Lawrence Ave",41.968873,-87.658857,"Ravenswood Ave & Lawrence Ave",41.96909,-87.674237,2906,2788,118
"Broadway & Belmont Ave",41.940106,-87.645451,"Broadway & Cornelia Ave",41.945529,-87.646439,2903,2541,362
"Clinton St & Jackson Blvd",41.8783166118,-87.6409810781,"900 W Harrison St",41.874754,-87.649807,2902,2261,641
"Broadway & Ridge Ave",41.9840446107,-87.6602738295,"Clark St & Berwyn Ave",41.9780306225,-87.6685649157,2901,2509,392
"Shedd Aquarium",41.8672259568,-87.6153553902,"Field Museum",41.865312,-87.617867,2901,487,2414
"Streeter Dr & Grand Ave",41.892278,-87.612043,"McClurg Ct & Ohio St",41.8925921197,-87.6172891259,2900,1189,1711
"Desplaines St & Kinzie St",41.888716036,-87.6444478533,"Desplaines St & Jackson Blvd",41.8781189009,-87.6439476013,2899,2625,274
"Canal St & Adams St",41.879255,-87.639904,"LaSalle St & Illinois St",41.890762,-87.631697,2898,2442,456
"Franklin St & Jackson Blvd",41.8777079559,-87.6353211408,"Franklin St & Lake St",41.885837,-87.6355,2893,2321,572
"Eckhart Park",41.89637337,-87.66098386,"Ogden Ave & Chicago Ave",41.896362458,-87.6540612729,2889,2630,259
"May St & Taylor St",41.8694821,-87.6554864,"Hermitage Ave & Polk St",41.871514,-87.669886,2889,2756,133
"Southport Ave & Belmont Ave",41.93949,-87.66378,"Southport Ave & Waveland Ave",41.94815,-87.66394,2887,2528,359
"Wentworth Ave & 35th St",41.830777,-87.632504,"Halsted St & 35th St",41.830661,-87.647172,2885,2009,876
"Columbus Dr & Randolph St",41.884728,-87.619521,"Michigan Ave & Jackson Blvd",41.87785,-87.62408,2885,1879,1006
"McClurg Ct & Illinois St",41.89102,-87.6173,"Dearborn St & Erie St",41.893992,-87.629318,2884,2344,540
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Rush St & Cedar St",41.9023087012,-87.627690528,2882,920,1962
"Ravenswood Ave & Lawrence Ave",41.96909,-87.674237,"Lincoln Ave & Belle Plaine Ave",41.955927,-87.679259,2882,2751,131
"Bissell St & Armitage Ave",41.91844,-87.65222,"Wells St & Concord Ln",41.912133,-87.634656,2881,2433,448
"Dearborn St & Erie St",41.893992,-87.629318,"Canal St & Monroe St",41.8807,-87.63947,2877,2755,122
"Clarendon Ave & Junior Ter",41.961004,-87.649603,"Sheridan Rd & Montrose Ave",41.96167,-87.65464,2875,2527,348
"Ellis Ave & 53rd St",41.7993362626,-87.6009581145,"Ellis Ave & 60th St",41.7850971464,-87.6010727606,2873,2403,470
"State St & Kinzie St",41.88918,-87.6277,"LaSalle St & Jackson Blvd",41.87817,-87.631985,2873,2670,203
"Dearborn St & Erie St",41.893992,-87.629318,"Clinton St & Lake St",41.885637,-87.641823,2872,2608,264
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,"Canal St & Taylor St",41.870257,-87.639474,2871,2367,504
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Adler Planetarium",41.866095,-87.607267,2869,459,2410
"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,"Larrabee St & Division St",41.90348607,-87.6433534936,2865,2625,240
"Broadway & Waveland Ave",41.949074,-87.648636,"Broadway & Sheridan Rd",41.952833,-87.649993,2865,2541,324
"Fairbanks Ct & Grand Ave",41.89186,-87.62062,"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,2864,2598,266
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,"Fort Dearborn Dr & 31st St",41.838556,-87.608218,2862,1351,1511
"Franklin St & Jackson Blvd",41.8777079559,-87.6353211408,"Michigan Ave & Lake St",41.886024,-87.624117,2861,1802,1059
"Peoria St & Jackson Blvd",41.877749,-87.649633,"Morgan St & Lake St",41.8854833079,-87.6523048564,2860,2698,162
"Wells St & Elm St",41.903222,-87.634324,"Larrabee St & Division St",41.90348607,-87.6433534936,2859,2423,436
"Bissell St & Armitage Ave",41.91844,-87.65222,"Sheffield Ave & Kingsbury St",41.910522,-87.653106,2859,2743,116
"Halsted St & Maxwell St",41.864883,-87.647071,"May St & Taylor St",41.8694821,-87.6554864,2858,2549,309
"Michigan Ave & 18th St",41.857926,-87.624336,"Franklin St & Jackson Blvd",41.8777079559,-87.6353211408,2856,2720,136
"Theater on the Lake",41.926277,-87.630834,"Michigan Ave & Pearson St",41.89766,-87.62351,2856,753,2103
"Daley Center Plaza",41.884241,-87.629634,"Green St & Madison St",41.881859328,-87.6492637396,2855,2584,271
"Canal St & Madison St",41.882091,-87.639833,"Fairbanks Ct & Grand Ave",41.89186,-87.62062,2854,2548,306
"Larrabee St & Kingsbury St",41.897764,-87.642884,"Franklin St & Lake St",41.885837,-87.6355,2853,2650,203
"Broadway & Thorndale Ave",41.9897425114,-87.6601406209,"Clark St & Bryn Mawr Ave",41.983593,-87.669154,2852,2320,532
"Desplaines St & Randolph St",41.883703,-87.644238,"Michigan Ave & Washington St",41.8838927658,-87.6246491409,2852,2479,373
"Broadway & Granville Ave",41.9947796884,-87.6602845349,"Broadway & Thorndale Ave",41.9897425114,-87.6601406209,2851,2157,694
"Sheridan Rd & Loyola Ave",42.0010437798,-87.6611982433,"Glenwood Ave & Morse Ave",42.0079719229,-87.6655023944,2850,2429,421
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,"Michigan Ave & 14th St",41.864059,-87.623727,2850,1762,1088
"Broadway & Barry Ave",41.937725,-87.644095,"Lake Shore Dr & Wellington Ave",41.936669,-87.636794,2849,2183,666
"Michigan Ave & Oak St",41.90096039,-87.62377664,"St. Clair St & Erie St",41.8943451374,-87.6227983832,2848,1016,1832
"Halsted St & Wrightwood Ave",41.929143,-87.649077,"Sheffield Ave & Webster Ave",41.92154,-87.653818,2846,2268,578
"Wabash Ave & Grand Ave",41.891466,-87.626761,"McClurg Ct & Illinois St",41.89102,-87.6173,2845,2427,418
"Pine Grove Ave & Waveland Ave",41.949275,-87.646303,"Montrose Harbor",41.963982,-87.638181,2845,1456,1389
"Green St & Randolph St*",41.8836016573,-87.6486267149,"Clinton St & Washington Blvd",41.88338,-87.64117,2844,2612,232
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,"Montrose Harbor",41.963982,-87.638181,2842,1535,1307
"Ashland Ave & Wellington Ave",41.936083,-87.669807,"Lincoln Ave & Roscoe St",41.94334,-87.67097,2842,2739,103
"Clark St & Congress Pkwy",41.8759326655,-87.6305845355,"Canal St & Madison St",41.882091,-87.639833,2842,2707,135
"Halsted St & Dickens Ave",41.919936,-87.64883,"Dayton St & North Ave",41.9105780349,-87.6494219288,2840,2472,368
"Wood St & Milwaukee Ave",41.907655,-87.672552,"Paulina Ave & North Ave",41.9098546522,-87.66993016,2838,2247,591
"Theater on the Lake",41.926277,-87.630834,"Broadway & Waveland Ave",41.949074,-87.648636,2838,1291,1547
"Calumet Ave & 33rd St",41.8349,-87.61793,"Indiana Ave & 31st St",41.838842,-87.621857,2837,2732,105
"Millennium Park",41.8810317,-87.62408432,"Michigan Ave & 18th St",41.857926,-87.624336,2836,1788,1048
"Clark St & Elm St",41.903233,-87.631253,"McClurg Ct & Erie St",41.894503,-87.617854,2835,2463,372
"Wells St & Concord Ln",41.912133,-87.634656,"Streeter Dr & Grand Ave",41.892278,-87.612043,2833,952,1881
"Franklin St & Lake St",41.885837,-87.6355,"Dearborn St & Erie St",41.893992,-87.629318,2833,2526,307
"Delano Ct & Roosevelt Rd",41.867491,-87.63219,"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,2830,2407,423
"Franklin St & Monroe St",41.880317,-87.635185,"Wells St & Concord Ln",41.912133,-87.634656,2828,2658,170
"Millennium Park",41.8810317,-87.62408432,"Wabash Ave & Grand Ave",41.891738,-87.626937,2828,467,2361
"Desplaines St & Jackson Blvd",41.8781189009,-87.6439476013,"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,2824,2553,271
"Canal St & Adams St",41.879255,-87.639904,"Michigan Ave & Oak St",41.90096039,-87.62377664,2824,2393,431
"Southport Ave & Wellington Ave",41.935733,-87.663576,"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,2824,2570,254
"Franklin St & Jackson Blvd",41.8777079559,-87.6353211408,"Wells St & Polk St",41.8727315423,-87.6335164905,2820,2508,312
"Kingsbury St & Erie St",41.8939139,-87.6417358,"LaSalle St & Illinois St",41.890749,-87.63206,2820,2613,207
"Clark St & Elm St",41.903233,-87.631253,"Wabash Ave & Grand Ave",41.891466,-87.626761,2820,2240,580
"Streeter Dr & Grand Ave",41.892278,-87.612043,"Michigan Ave & Madison St",41.882134,-87.625125,2819,339,2480
"Kedzie Ave & Milwaukee Ave",41.929567,-87.707857,"Humboldt Blvd & Armitage Ave",41.917513394,-87.7018089555,2818,1896,922
"Woodlawn Ave & 55th St",41.795264,-87.596471,"Lake Park Ave & 53rd St",41.7994942937,-87.5864498959,2816,2280,536
"Clark St & Lincoln Ave",41.915689,-87.6346,"Dearborn Pkwy & Delaware Pl",41.898969,-87.629912,2813,1626,1187
"Michigan Ave & Pearson St",41.89766,-87.62351,"Lake Shore Dr & Ohio St",41.89257,-87.614492,2812,1181,1631
"Museum Campus",41.865212,-87.617759,"Michigan Ave & Congress Pkwy",41.8760656,-87.62443336,2811,366,2445
"Ellis Ave & 58th St",41.788746,-87.601334,"University Ave & 57th St",41.791478,-87.599861,2810,2346,464
"Clinton St & Lake St",41.88583274,-87.64138231,"Canal St & Jackson Blvd",41.877988,-87.640769,2810,2660,150
"Ashland Ave & Wrightwood Ave",41.92883,-87.668507,"Sheffield Ave & Wrightwood Ave",41.928712,-87.653833,2809,2414,395
"Lincoln Ave & Diversey Pkwy",41.932225,-87.658617,"Halsted St & Wrightwood Ave",41.929143,-87.649077,2809,2321,488
"Michigan Ave & Washington St",41.8839840647,-87.6246839762,"Clinton St & Madison St",41.8827519657,-87.6411902905,2808,2528,280
"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,"Honore St & Division St",41.903119,-87.673935,2807,2304,503
"Michigan Ave & 14th St",41.864059,-87.623727,"McCormick Place",41.8513751729,-87.6188346489,2805,1001,1804
"LaSalle St & Illinois St",41.890749,-87.63206,"Clinton St & Madison St",41.8827519657,-87.6411902905,2805,2579,226
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Clark St & Wrightwood Ave",41.929546,-87.643118,2803,1480,1323
"Canal St & Jackson Blvd",41.877988,-87.640769,"Morgan St & Polk St",41.871737,-87.65103,2802,2689,113
"Loomis St & Lexington St",41.8722287322,-87.661363855,"Aberdeen St & Jackson Blvd",41.87772613,-87.65478743,2801,2326,475
